cellular_organisms	Bacteria
unclassified_Erysipelotrichaceae__miscellaneous	Erysipelotrichaceae_bacterium_2_2_44A
unclassified_Erysipelotrichaceae__miscellaneous	Erysipelotrichaceae_bacterium_6_1_45
unclassified_Erysipelotrichaceae__miscellaneous	Erysipelotrichaceae_bacterium_21_3
Streptococcus_anginosus_group	Streptococcus_constellatus
Streptococcus_anginosus_group	Streptococcus_anginosus
Streptococcus_anginosus_group	Streptococcus_intermedius
Alistipes	Alistipes_senegalensis
Alistipes	Alistipes_finegoldii
Alistipes	Alistipes_onderdonkii
Alistipes	Alistipes_putredinis
Alistipes	Alistipes_indistinctus
Alistipes	Alistipes_shahii
Alistipes	Alistipes_sp_AP11_species
Alistipes	unclassified_Alistipes_species
Bacteroides	Bacteroides_nordii
Bacteroides	Bacteroides_stercoris
Bacteroides	Bacteroides_salyersiae
Bacteroides	Bacteroides_ovatus
Bacteroides	Bacteroides_coprocola
Bacteroides	Bacteroides_faecis
Bacteroides	Bacteroides_intestinalis
Bacteroides	Bacteroides_coprophilus
Bacteroides	Bacteroides_uniformis
Bacteroides	Bacteroides_xylanisolvens
Bacteroides	Bacteroides_sp_3_1_19
Bacteroides	Bacteroides_oleiciplenus
Bacteroides	Bacteroides_sp_2_1_22
Bacteroides	Bacteroides_fragilis
Bacteroides	Bacteroides_dorei
Bacteroides	Bacteroides_thetaiotaomicron
Bacteroides	Bacteroides_vulgatus
Bacteroides	Bacteroides_clarus
Bacteroides	Bacteroides_eggerthii
Bacteroides	Bacteroides_cellulosilyticus
Bacteroides	Bacteroides_massiliensis
Bacteroides	Bacteroides_caccae
Bacteroides	Bacteroides_finegoldii
Bacteroides	Bacteroides_plebeius
